v4	I(R2)
1,007934565600008e+000	8,845889e-011
1,008010859500008e+000	8,845976e-011
1,008087153400008e+000	8,846042e-011
1,008163447300009e+000	8,845876e-011
1,008239741200009e+000	8,845907e-011
1,008316035100009e+000	8,845925e-011
1,008392329000009e+000	8,845927e-011
1,008468622900009e+000	8,845920e-011
1,008544916800009e+000	8,845902e-011
1,008621210700009e+000	8,845864e-011
1,008697504600009e+000	8,846031e-011
1,008773798500009e+000	8,845969e-011
1,008850092400009e+000	8,845896e-011
1,008926386300009e+000	8,846019e-011
1,009002680200009e+000	8,845905e-011
1,009078974100010e+000	8,845989e-011
1,009155268000010e+000	8,846055e-011
1,009231561900010e+000	8,845891e-011
1,009307855800010e+000	8,845930e-011
1,009384149700010e+000	8,845951e-011
1,009460443600010e+000	8,845956e-011
1,009536737500010e+000	8,845939e-011
1,009613031400010e+000	8,845906e-011
1,009689325300010e+000	8,845852e-011
1,009765619200010e+000	8,846000e-011
1,009841913100010e+000	8,845914e-011
1,009918207000010e+000	8,846034e-011
1,009994500900010e+000	8,845924e-011
1,010070794800011e+000	8,846015e-011
1,010147088700011e+000	8,845882e-011
1,010223382600011e+000	8,845946e-011
1,010299676500011e+000	8,845989e-011
1,010375970400011e+000	8,846023e-011
1,010452264300011e+000	8,846044e-011
1,010528558200011e+000	8,846052e-011
1,010604852100011e+000	8,846044e-011
1,010681146000011e+000	8,846020e-011
1,010757439900011e+000	8,845977e-011
1,010833733800011e+000	8,845925e-011
1,010910027700011e+000	8,845855e-011
1,010986321600012e+000	8,845984e-011
1,011062615500012e+000	8,845879e-011
1,011138909400012e+000	8,845977e-011
1,011215203300012e+000	8,846061e-011
1,011291497200012e+000	8,845908e-011
1,011367791100012e+000	8,845954e-011
1,011444085000012e+000	8,845985e-011
1,011520378900012e+000	8,845993e-011
1,011596672800012e+000	8,845984e-011
1,011672966700012e+000	8,845959e-011
1,011749260600012e+000	8,845914e-011
1,011825554500012e+000	8,846070e-011
1,011901848400012e+000	8,845987e-011
1,011978142300013e+000	8,845887e-011
1,012054436200013e+000	8,845983e-011
1,012130730100013e+000	8,846063e-011
1,012207024000013e+000	8,845905e-011
1,012283317900013e+000	8,845952e-011
1,012359611800013e+000	8,845981e-011
1,012435905700013e+000	8,846000e-011
1,012512199600013e+000	8,846006e-011
1,012588493500013e+000	8,845995e-011
1,012664787400013e+000	8,845976e-011
1,012741081300013e+000	8,845946e-011
1,012817375200013e+000	8,845903e-011
1,012893669100013e+000	8,846062e-011
1,012969963000014e+000	8,845989e-011
1,013046256900014e+000	8,845898e-011
1,013122550800014e+000	8,846006e-011
1,013198844700014e+000	8,845880e-011
1,013275138600014e+000	8,845955e-011
1,013351432500014e+000	8,846014e-011
1,013427726400014e+000	8,846057e-011
1,013504020300014e+000	8,845870e-011
1,013580314200014e+000	8,845889e-011
1,013656608100014e+000	8,845889e-011
1,013732902000014e+000	8,845875e-011
1,013809195900014e+000	8,846059e-011
1,013885489800015e+000	8,846009e-011
1,013961783700015e+000	8,845938e-011
1,014038077600015e+000	8,846066e-011
1,014114371500015e+000	8,845966e-011
1,014190665400015e+000	8,846063e-011
1,014266959300015e+000	8,845932e-011
1,014343253200015e+000	8,845998e-011
1,014419547100015e+000	8,846051e-011
1,014495841000015e+000	8,845870e-011
1,014572134900015e+000	8,845894e-011
1,014648428800015e+000	8,845905e-011
1,014724722700015e+000	8,845901e-011
1,014801016600015e+000	8,845880e-011
1,014877310500016e+000	8,846059e-011
1,014953604400016e+000	8,846003e-011
1,015029898300016e+000	8,845938e-011
1,015106192200016e+000	8,845855e-011
1,015182486100016e+000	8,845971e-011
1,015258780000016e+000	8,846070e-011
1,015335073900016e+000	8,845938e-011
1,015411367800016e+000	8,846008e-011
1,015487661700016e+000	8,846065e-011
1,015563955600016e+000	8,845893e-011
1,015640249500016e+000	8,845919e-011
1,015716543400016e+000	8,845928e-011
1,015792837300017e+000	8,845925e-011
1,015869131200017e+000	8,845905e-011
1,015945425100017e+000	8,845871e-011
1,016021719000017e+000	8,846037e-011
1,016098012900017e+000	8,845975e-011
1,016174306800017e+000	8,845898e-011
1,016250600700017e+000	8,846028e-011
1,016326894600017e+000	8,845931e-011
1,016403188500017e+000	8,846034e-011
1,016479482400017e+000	8,845905e-011
1,016555776300017e+000	8,845982e-011
1,016632070200017e+000	8,846047e-011
1,016708364100017e+000	8,845882e-011
1,016784658000018e+000	8,845921e-011
1,016860951900018e+000	8,845944e-011
1,016937245800018e+000	8,845955e-011
1,017013539700018e+000	8,845951e-011
1,017089833600018e+000	8,845936e-011
1,017166127500018e+000	8,845900e-011
1,017242421400018e+000	8,846062e-011
1,017318715300018e+000	8,845991e-011
1,017395009200018e+000	8,845907e-011
1,017471303100018e+000	8,846018e-011
1,017547597000018e+000	8,845893e-011
1,017623890900018e+000	8,845973e-011
1,017700184800018e+000	8,846032e-011
1,017776478700019e+000	8,846073e-011
1,017852772600019e+000	8,845887e-011
1,017929066500019e+000	8,845898e-011
1,018005360400019e+000	8,845900e-011
1,018081654300019e+000	8,845886e-011
1,018157948200019e+000	8,845856e-011
1,018234242100019e+000	8,846034e-011
1,018310536000019e+000	8,845984e-011
1,018386829900019e+000	8,845923e-011
1,018463123800019e+000	8,846064e-011
1,018539417700019e+000	8,845973e-011
1,018615711600019e+000	8,845867e-011
1,018692005500020e+000	8,845963e-011
1,018768299400020e+000	8,846043e-011
1,018844593300020e+000	8,845891e-011
1,018920887200020e+000	8,845943e-011
1,018997181100020e+000	8,845973e-011
1,019073475000020e+000	8,845982e-011
1,019149768900020e+000	8,845974e-011
1,019226062800020e+000	8,845950e-011
1,019302356700020e+000	8,845915e-011
1,019378650600020e+000	8,845863e-011
1,019454944500020e+000	8,846014e-011
